Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2012-07-11,2012-07-11,327.6185091781914,332.34106286794946,326.1567532204472,326.8314208984375,3197652,329.83108606555413,322.7116901888525,54.36368708560628,5.19004866642905,4.67915233273661,0.5108963336924397,0,0,0,0,1,0,1,0,0,0,0,1,11.564259435207632
2012-07-12,2012-07-12,325.9318429354066,327.20619112248227,320.12234903992754,321.20928955078125,3691568,326.95715389396315,322.6004012526991,48.81779510267,4.271730017274706,4.597667869644229,-0.3259378523695231,0,1,0,0,0,1,1,0,0,0,0,1,11.709506290138421
2012-07-13,2012-07-13,322.3337513005493,324.58259566974834,317.9110256418735,318.585693359375,3481754,324.16666704910045,322.3030154828232,46.43707652610839,3.294279185519997,4.336990132819382,-1.0427109472993852,0,0,0,0,0,1,1,0,0,0,0,1,12.13967086009228
2012-07-16,2012-07-16,322.0569653434972,322.9826348682936,313.340208980723,314.6901550292969,4210816,321.00782970916595,321.73909989367314,43.0778514160385,2.180173291739891,3.905626764603484,-1.725453472863593,0,0,0,1,0,1,0,1,0,0,0,1,12.759780573394854
2012-07-17,2012-07-17,317.04291431310435,319.0871063443264,312.298830163238,313.0316467285156,3562760,318.3491020489492,321.0941033629207,41.694945918506264,1.150150367585013,3.35453148519979,-2.2043811176147767,0,0,0,0,0,1,0,1,0,0,0,0,13.506520382263238
2012-07-18,2012-07-18,312.4144860315941,319.1641904113327,311.87452252984093,317.54425048828125,3524263,318.0808181953932,320.8311512981326,46.7079191126933,0.6900250104924339,2.8216301902583187,-2.131605179765885,0,0,0,0,0,1,0,1,0,0,0,0,12.33768025484216
2012-07-19,2012-07-19,320.89982610196284,321.59407196847457,318.3927873307816,319.70416259765625,2826268,318.62193299614756,320.74767065365285,48.96950219360335,0.49396508405385475,2.356097169017426,-1.8621320849635712,0,0,0,0,0,1,0,1,0,0,0,0,9.89178683656144
2012-07-20,2012-07-20,317.4285889942644,322.36552600924585,317.4285889942644,320.8612976074219,2454186,319.36838786657233,320.75608746504315,50.189073301840196,0.4270347141581965,1.97028467804558,-1.5432499638873836,0,0,0,0,0,1,0,1,0,0,0,0,8.261191224374294
2012-07-23,2012-07-23,317.814300948467,318.1228656949812,307.01478190947194,308.171875,3073788,315.6362169110482,319.82392357874363,39.14169031926704,-0.642531734804038,1.4477213954756563,-2.0902531302796943,0,0,0,0,0,1,0,1,0,1,0,1,5.507460816249529
2012-07-24,2012-07-24,308.0561658110081,310.4474931988054,303.8520699399937,306.127685546875,3498611,312.46670645632383,318.80938742823486,37.7019696553105,-1.6362580915359786,0.8309254980733293,-2.467183589609308,0,0,0,0,0,1,0,1,0,1,0,1,3.671640544166353
2012-07-25,2012-07-25,305.472002138383,306.8604940550953,297.52663301986325,298.14373779296875,5400802,307.6923835685388,317.2785985663633,32.650580828041626,-3.033067928699836,0.05812681271869613,-3.091194741418532,0,0,0,0,0,1,0,1,0,1,0,1,2.4477603627775686
2012-07-26,2012-07-26,299.3779547645048,301.5764289994276,294.67246628036884,296.2152404785156,7816029,303.86666920519775,315.71834981911536,31.55095408867423,-4.246709975166937,-0.8028405448584305,-3.443869430308506,0,0,0,0,0,1,0,1,0,1,0,1,1.6318402418517124
2012-07-27,2012-07-27,300.8435806182947,310.7174283341769,300.5735865141087,307.9018249511719,5359989,305.21172112052244,315.1393479770455,43.88455844095696,-4.216910424293474,-1.485654520745439,-2.7312559035480346,0,0,0,0,0,1,0,1,0,0,1,0,1.0878934945678083
2012-07-30,2012-07-30,311.6431319333674,317.50571344351295,310.33175656358003,316.5414733886719,3615093,308.9883052099056,315.2432091186475,50.924662239299444,-3.4563045142154465,-1.8797845194394405,-1.576519994776006,0,0,0,0,0,1,0,1,0,0,0,0,1.0585956630452056
2012-07-31,2012-07-31,317.2357191228942,321.4012437397577,309.32892164302007,319.70416259765625,4245270,312.5602576724892,315.5736501170926,53.23747137584084,-2.5687058213952696,-2.017568779830606,-0.5511370415646635,0,0,0,0,0,1,0,1,0,0,0,0,1.3723971086968039
2012-08-01,2012-08-01,320.1284421690385,321.5169339155451,314.69011282001367,315.9243469238281,3143059,313.68162075626884,315.5996276583323,50.19295674908929,-2.1455444967686503,-2.043163923218215,-0.10238057355043528,0,0,0,0,0,1,0,1,0,0,0,0,1.9149314057978692
