,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
10,11,,long,2004-06-25,197.44214723907683,2004-08-12,160.82830261440668,-18.54,-11199.115657313136,-8.67,300,34,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
11,12,,long,2004-11-22,197.5114486694336,2004-11-23,197.85456325783287,0.17,-134.2852306365819,-0.1,300,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
12,13,,long,2005-01-05,256.1672668457031,2005-02-14,270.9063779492841,5.75,3421.240953497748,2.58,250,26,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
13,14,,long,2005-04-20,293.77961175751466,2005-04-26,271.6210654153145,-7.54,-4657.869539309166,-3.55,200,4,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
14,15,,long,2005-07-11,290.8811828613281,2005-07-13,310.2137755116391,6.65,3626.0805467130076,2.69,200,2,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
15,16,,long,2005-08-18,344.9199249267578,2005-08-25,337.1572536391645,-2.25,-1825.3651289450331,-1.34,200,5,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
16,17,,long,2005-11-08,347.08262939453124,2005-11-21,368.7611104617901,6.25,3037.0190381319344,2.17,150,8,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
17,18,,long,2006-01-30,419.25465393066406,2006-02-06,422.35683038823913,0.74,212.84302334058947,0.15,150,5,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
18,19,,long,2006-03-01,474.8855895996094,2006-03-16,559.9867207799434,17.92,12454.707983936241,8.0,150,10,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
19,20,,long,2006-04-05,611.6200744628907,2006-04-21,712.8684748121985,16.55,9859.942325075768,5.54,100,9,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
20,21,,long,2006-05-25,588.0964294433594,2006-07-14,574.9521960610267,-2.24,-1547.033063334146,-0.83,100,36,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
