,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
14,1845,,long,2014-02-10,151.41156921386718,2014-03-26,154.00208941604592,1.71,692.892509721619,0.7,350,30,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
15,1846,,long,2014-05-12,179.81473541259766,2014-05-21,205.00005035523893,14.01,7324.705611331679,6.92,300,7,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
16,1847,,long,2014-06-09,230.02855377197267,2014-11-05,202.19952494508192,-12.1,-7173.371246081215,-7.01,250,98,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
17,1848,,long,2014-12-16,212.93122100830078,2014-12-17,204.4399490512253,-3.99,-2331.50357429863,-2.33,250,1,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
18,1849,,long,2015-01-22,221.0191841325124,2015-02-26,215.95019727359124,-2.29,-1485.7314054333428,-1.51,250,23,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
19,1850,,long,2015-04-09,226.6005149123023,2015-04-27,223.02431044191857,-1.58,-1118.863530273039,-1.15,250,11,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
20,1851,,long,2015-05-29,229.59151458740234,2015-06-03,225.80247076932193,-1.65,-1174.957947198466,-1.22,250,3,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
21,1852,,long,2015-07-14,255.9577606201172,2016-02-12,182.71086133565413,-28.62,-14824.847305674923,-18.2,200,144,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
22,1853,,long,2016-03-04,191.97646942138672,2016-03-21,192.2220575360256,0.13,-156.8426817827841,-0.19,300,10,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
23,1854,,long,2016-06-02,195.1902633666992,2016-06-09,198.3977097227616,1.64,726.0811229650367,0.89,300,5,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
