Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2013-07-17,2013-07-17,2015-03-26,228.3134307861328,550.500244140625,3221.868133544922
2013-07-18,2013-07-18,2015-03-27,227.6666717529297,546.061767578125,3183.950958251953
2013-07-19,2013-07-19,2015-03-30,236.2201385498047,530.0408935546875,2938.207550048828
2013-07-22,2013-07-22,2015-03-31,244.43972778320312,532.36572265625,2879.2599487304688
2013-07-23,2013-07-23,2015-04-01,245.9939727783203,534.902099609375,2889.081268310547
2013-07-24,2013-07-24,2015-04-06,251.9396514892578,543.9058837890625,2919.662322998047
2013-07-25,2013-07-25,2015-04-07,246.10862731933602,551.9373779296875,3058.2875061035147
2013-07-26,2013-07-26,2015-04-08,254.04669189453125,568.3809814453125,3143.3428955078125
2013-07-29,2013-07-29,2015-04-09,260.48257446289057,566.774658203125,3062.920837402344
2013-07-30,2013-07-30,2015-04-10,257.07162475585943,558.1513061523439,3010.796813964844
2013-07-31,2013-07-31,2015-04-13,260.00271606445307,561.7021484375,3016.994323730469
2013-08-01,2013-08-01,2015-04-15,261.10845947265625,557.8553466796875,2967.4688720703125
2013-08-02,2013-08-02,2015-04-16,257.26986694335943,554.6427612304689,2973.728942871094
2013-08-05,2013-08-05,2015-04-17,263.65362548828125,541.9613647460939,2783.077392578126
2013-08-13,2013-08-13,2015-04-20,277.68325805664057,534.5638427734375,2568.805847167969
2013-08-14,2013-08-14,2015-04-21,275.61798095703125,538.9601440429689,2633.421630859376
2013-08-16,2013-08-16,2015-04-22,276.30636596679693,532.4503173828125,2561.439514160156
2013-08-19,2013-08-19,2015-04-23,269.95391845703125,520.1069946289061,2501.530761718749
2013-08-20,2013-08-20,2015-04-24,260.73300170898443,496.6886901855469,2359.5568847656245
2013-08-21,2013-08-21,2015-04-27,258.63629150390625,496.4774169921875,2378.4112548828125
2013-08-22,2013-08-22,2015-04-28,265.1348876953125,514.5272827148439,2493.9239501953134
2013-08-23,2013-08-23,2015-04-29,285.0162353515625,521.5443115234375,2365.28076171875
2013-08-26,2013-08-26,2015-04-30,287.8222351074219,525.306396484375,2374.8416137695312
2013-08-30,2013-08-30,2015-05-04,286.85211181640625,517.1903076171875,2303.3819580078125
2013-09-02,2013-09-02,2015-05-05,286.8625793457031,515.6686401367189,2288.060607910157
2013-09-03,2013-09-03,2015-05-06,292.15106201171875,514.7809448242189,2226.298828125001
2013-09-04,2013-09-04,2015-05-07,291.90069580078125,519.303955078125,2274.0325927734375
2013-09-05,2013-09-05,2015-05-08,288.3959045410156,525.3486938476561,2369.5278930664053
2013-09-06,2013-09-06,2015-05-11,283.785400390625,533.7183837890625,2499.329833984375
2013-09-10,2013-09-10,2015-05-12,283.05523681640625,520.9525146484375,2378.9727783203125
2013-09-11,2013-09-11,2015-05-13,278.1527099609375,521.079345703125,2429.266357421875
2013-09-12,2013-09-12,2015-05-14,273.57345581054693,520.3184814453125,2467.450256347656
2013-10-09,2013-10-09,2015-05-15,309.1094055175781,522.7701416015625,2136.6073608398438
2013-10-10,2013-10-10,2015-05-18,316.8683776855469,517.908935546875,2010.4055786132812
2013-10-11,2013-10-11,2015-06-04,324.5643005371094,471.1145935058594,1465.5029296875
2013-10-14,2013-10-14,2015-06-05,326.4491271972656,467.9441833496094,1414.9505615234375
2013-10-15,2013-10-15,2015-06-08,331.6322021484375,465.4501953125,1338.179931640625
2013-10-17,2013-10-17,2015-06-09,320.3656005859375,456.9536437988281,1365.8804321289062
2013-10-18,2013-10-18,2015-06-10,321.71636962890625,470.3113708496094,1485.9500122070312
2013-10-21,2013-10-21,2015-06-11,323.65338134765625,471.3681640625,1477.1478271484375
2013-10-22,2013-10-22,2015-06-12,323.8419189453125,466.2111511230469,1423.6923217773438
2013-10-23,2013-10-23,2015-06-15,325.1298522949219,468.4091796875,1432.7932739257812
2013-10-24,2013-10-24,2015-06-16,321.8943176269531,466.2111511230469,1443.1683349609375
2013-10-25,2013-10-25,2015-06-17,322.7948303222656,464.2666931152344,1414.7186279296875
2013-10-28,2013-10-28,2015-06-18,317.28717041015625,457.5454711914063,1402.5830078125005
2013-10-29,2013-10-29,2015-06-19,318.805419921875,460.0394592285156,1412.3403930664062
2013-10-30,2013-10-30,2015-06-22,325.7161560058594,466.2111511230469,1404.949951171875
2013-10-31,2013-10-31,2015-06-23,324.815673828125,468.0287170410156,1432.1304321289062
2013-11-01,2013-11-01,2015-06-24,319.5383605957031,461.0116882324219,1414.7332763671875
2013-11-14,2013-11-14,2015-06-25,350.1446838378906,447.9075927734375,977.6290893554688
2013-11-18,2013-11-18,2015-06-29,363.0970764160156,408.637451171875,455.40374755859375
2013-11-19,2013-11-19,2015-06-30,366.1441040039063,403.9453430175781,378.0123901367182
2013-11-20,2013-11-20,2015-07-01,353.11834716796875,411.0046691894531,578.8632202148438
2013-12-26,2013-12-26,2015-07-02,382.4786071777344,405.2134094238281,227.3480224609375
2013-12-27,2013-12-27,2015-07-03,389.77679443359375,398.7036437988281,89.26849365234375
2013-12-30,2013-12-30,2015-07-06,386.8134460449219,392.7433776855469,59.29931640625
2013-12-31,2013-12-31,2015-07-07,384.8763732910156,398.53460693359375,136.58233642578125
2014-01-01,2014-01-01,2015-07-08,382.8345642089844,397.6046447753906,147.7008056640625
2014-01-17,2014-01-17,2015-07-09,371.76690673828125,400.9863586425781,292.19451904296875
2014-01-22,2014-01-22,2015-07-10,385.7768249511719,400.7326965332031,149.5587158203125
2014-02-14,2014-02-14,2015-07-13,383.619873046875,402.2544555664063,186.34582519531307
2014-02-17,2014-02-17,2015-07-14,381.923583984375,403.1844482421875,212.608642578125
2014-02-18,2014-02-18,2015-07-15,381.5675964355469,405.76300048828125,241.95404052734375
2014-02-19,2014-02-19,2015-07-16,385.9234619140625,415.7812805175781,298.57818603515625
2014-02-20,2014-02-20,2015-07-17,383.7036437988281,424.5314636230469,408.2781982421875
2014-03-05,2014-03-05,2015-07-20,398.6979064941406,423.39013671875,246.92230224609375
2014-03-06,2014-03-06,2015-07-21,402.7500915527344,430.6608276367188,279.1073608398443
