Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2009-04-21,2009-04-21,2010-05-11,99.7697982788086,111.29188537597656,115.22087097167969
2009-04-22,2009-04-22,2010-05-12,99.8497314453125,112.02513122558594,121.75399780273438
2009-05-26,2009-05-26,2010-05-13,107.47309112548828,112.83983612060548,53.66744995117202
2009-05-27,2009-05-27,2010-05-14,107.71296691894531,111.80784606933594,40.94879150390625
2009-05-28,2009-05-28,2010-05-17,110.77831268310548,110.80301666259766,0.2470397949217329
2009-05-29,2009-05-29,2010-05-18,114.82989501953124,111.4276351928711,-34.02259826660142
2009-06-01,2009-06-01,2010-05-25,122.26667022705078,104.6654052734375,-176.0126495361328
2009-06-02,2009-06-02,2010-05-26,119.2812957763672,106.02328491210938,-132.58010864257827
2009-06-03,2009-06-03,2010-05-27,118.48162841796876,107.19105529785156,-112.90573120117202
2009-06-04,2009-06-04,2010-05-28,118.58824157714844,109.22789764404295,-93.60343933105483
2009-06-05,2009-06-05,2010-05-31,117.06888580322266,109.87964630126952,-71.89239501953139
2009-06-08,2009-06-08,2010-06-01,114.27011108398438,107.38115692138672,-68.88954162597656
2009-06-09,2009-06-09,2010-06-02,113.5504379272461,107.27255249023438,-62.77885437011719
2009-06-10,2009-06-10,2010-06-03,116.93563079833984,109.87964630126952,-70.55984497070327
2009-06-11,2009-06-11,2010-06-04,120.32080078125,109.82532501220705,-104.95475769042955
2009-06-12,2009-06-12,2010-06-07,118.081787109375,108.54893493652344,-95.32852172851562
2009-06-15,2009-06-15,2010-06-08,117.921875,108.71190643310548,-92.09968566894517
2009-06-16,2009-06-16,2010-06-09,120.02760314941406,107.8700180053711,-121.57585144042969
2009-07-27,2009-07-27,2010-06-10,114.35009002685548,108.63040924072266,-57.19680786132827
2009-07-28,2009-07-28,2010-06-11,116.18928527832031,108.57611083984376,-76.13174438476548
2009-07-29,2009-07-29,2010-06-14,114.19017791748048,108.603271484375,-55.86906433105483
2009-07-30,2009-07-30,2010-06-15,115.76280975341795,109.7982177734375,-59.645919799804545
2009-07-31,2009-07-31,2010-06-16,114.93651580810548,108.87483215332031,-60.616836547851705
2009-08-03,2009-08-03,2010-06-17,115.3096694946289,108.49462890625,-68.15040588378906
2009-08-04,2009-08-04,2010-06-30,115.20303344726562,108.41316986083984,-67.89863586425781
2009-08-05,2009-08-05,2010-07-01,114.80325317382812,108.603271484375,-61.99981689453125
2009-08-06,2009-08-06,2010-07-02,112.27101135253906,109.9611358642578,-23.098754882812642
2009-08-07,2009-08-07,2010-07-05,113.2306137084961,108.603271484375,-46.27342224121094
2009-08-10,2009-08-10,2010-08-09,112.21772003173828,108.35885620117188,-38.58863830566406
2009-08-11,2009-08-11,2010-08-10,111.2314682006836,106.64788055419922,-45.83587646484375
2009-08-14,2009-08-14,2010-08-11,109.84539031982422,106.48495483398438,-33.60435485839844
2009-09-25,2009-09-25,2010-08-12,114.0711669921875,105.42581176757812,-86.45355224609375
2009-09-29,2009-09-29,2010-08-13,113.72330474853516,106.32202911376952,-74.01275634765639
2009-09-30,2009-09-30,2010-08-16,114.39225769042969,106.67506408691406,-77.17193603515625
2009-10-01,2009-10-01,2010-08-17,112.65298461914062,105.86034393310548,-67.92640686035142
2009-10-05,2009-10-05,2010-08-18,111.87696838378906,105.8060531616211,-60.70915222167969
2009-10-06,2009-10-06,2010-08-19,111.71638488769531,105.39865112304688,-63.177337646484375
2009-10-07,2009-10-07,2010-08-20,111.85021209716795,104.9641342163086,-68.86077880859361
2009-10-08,2009-10-08,2010-08-23,113.40216064453124,105.48014068603516,-79.2201995849608
2009-10-09,2009-10-09,2010-08-24,112.35862731933594,105.12709045410156,-72.31536865234375
2009-10-12,2009-10-12,2010-08-25,112.5994644165039,105.26286315917969,-73.36601257324219
2009-10-13,2009-10-13,2010-08-26,112.5994644165039,107.84283447265624,-47.566299438476705
2009-10-14,2009-10-14,2010-08-27,114.7401123046875,106.70221710205078,-80.37895202636719
2009-10-15,2009-10-15,2010-08-30,116.10480499267578,106.1319351196289,-99.72869873046875
2009-10-16,2009-10-16,2010-08-31,115.03445434570312,106.43067169189452,-86.03782653808608
2009-10-20,2009-10-20,2010-09-01,115.59637451171876,107.29966735839844,-82.96707153320327
2009-10-21,2009-10-21,2010-09-02,115.70343780517578,106.24055480957031,-94.62882995605469
2009-10-22,2009-10-22,2010-10-19,113.9106216430664,111.3851318359375,-25.254898071289062
2009-10-23,2009-10-23,2010-10-20,114.98094177246094,112.01229095458984,-29.686508178710938
2009-10-26,2009-10-26,2010-10-21,116.10480499267578,112.17587280273438,-39.28932189941406
2009-10-27,2009-10-27,2010-10-22,116.39915466308594,111.24879455566406,-51.50360107421875
2009-10-28,2009-10-28,2010-10-25,114.28523254394531,113.18473815917969,-11.00494384765625
2009-10-29,2009-10-29,2010-10-26,111.39537811279295,111.93048095703124,5.3510284423828125
2009-10-30,2009-10-30,2010-10-27,113.66980743408205,108.11311340332031,-55.56694030761733
2009-11-03,2009-11-03,2010-10-28,109.95036315917969,105.82268524169922,-41.27677917480469
2009-11-04,2009-11-04,2010-10-29,113.00082397460938,106.50436401367188,-64.964599609375
2009-11-05,2009-11-05,2010-11-01,112.54592895507812,105.3591537475586,-71.86775207519531
2009-11-20,2009-11-20,2010-11-02,115.11473083496094,105.65908813476562,-94.55642700195312
2009-11-23,2009-11-23,2010-11-03,115.5160903930664,105.3591537475586,-101.56936645507812
2009-11-24,2009-11-24,2010-11-04,115.43585205078124,106.17718505859376,-92.58666992187472
2009-11-25,2009-11-25,2010-11-08,115.16825103759766,105.25010681152344,-99.18144226074219
2009-11-26,2009-11-26,2010-11-09,112.84024810791016,105.74088287353516,-70.99365234375
2009-11-27,2009-11-27,2010-11-10,111.36857604980469,105.84996032714844,-55.1861572265625
2009-11-30,2009-11-30,2010-11-11,112.2782974243164,104.95016479492188,-73.28132629394531
2009-12-01,2009-12-01,2010-11-12,112.62621307373048,104.81382751464844,-78.12385559082045
2009-12-02,2009-12-02,2010-11-15,111.87696838378906,103.34142303466795,-85.35545349121108
2010-01-11,2010-01-11,2010-11-16,124.66749572753906,102.03263092041016,-226.34864807128906
2010-01-12,2010-01-12,2010-11-18,122.7676773071289,102.44159698486328,-203.26080322265625
2010-01-13,2010-01-13,2010-11-19,122.7676773071289,100.42384338378906,-223.43833923339844
2010-01-14,2010-01-14,2010-11-22,123.6239013671875,99.93304443359376,-236.90856933593736
2010-01-15,2010-01-15,2010-11-23,124.29285430908205,98.16070556640624,-261.3214874267581
2010-01-18,2010-01-18,2010-11-24,123.75767517089844,97.15184783935548,-266.0582733154296
2010-01-19,2010-01-19,2010-11-25,121.8578872680664,96.4974136352539,-253.604736328125
2010-01-20,2010-01-20,2010-11-26,122.7676773071289,96.52468872070312,-262.4298858642578
2010-01-21,2010-01-21,2010-11-29,119.61014556884766,97.83349609375,-217.76649475097656
2010-01-22,2010-01-22,2010-11-30,118.96793365478516,100.34205627441406,-186.25877380371094
2010-01-25,2010-01-25,2010-12-01,119.7707061767578,101.62361145019531,-181.47094726562486
2010-01-27,2010-01-27,2010-12-02,115.86399841308594,99.74217224121094,-161.21826171875
2010-01-28,2010-01-28,2010-12-03,114.55282592773438,100.9692153930664,-135.8361053466797
2010-03-31,2010-03-31,2010-12-06,112.56827545166016,102.00534057617188,-105.62934875488281
2010-04-01,2010-04-01,2010-12-07,112.81268310546876,104.48662567138672,-83.26057434082045
2010-04-05,2010-04-05,2010-12-08,113.5187759399414,104.13214874267578,-93.86627197265625
2010-04-06,2010-04-06,2010-12-09,113.98043060302734,102.46887969970705,-115.11550903320298
2010-04-07,2010-04-07,2010-12-10,114.84949493408205,104.92288208007812,-99.2661285400392
2010-04-08,2010-04-08,2010-12-13,114.27919006347656,107.13150024414062,-71.47689819335938
2010-04-09,2010-04-09,2010-12-14,114.98529052734376,108.7947998046875,-61.90490722656264
2010-04-12,2010-04-12,2011-01-20,112.92134857177734,102.85062408447266,-100.70724487304688
2010-04-13,2010-04-13,2011-01-21,113.6817626953125,103.58683013916016,-100.94932556152344
2010-04-15,2010-04-15,2011-01-24,113.7360382080078,105.0592269897461,-86.76811218261705
2010-04-16,2010-04-16,2011-01-25,112.67691802978516,106.91336059570312,-57.63557434082031
2010-04-19,2010-04-19,2011-01-27,112.07943725585938,106.23172760009766,-58.47709655761719
2010-04-20,2010-04-20,2011-01-28,111.61775970458984,104.67750549316406,-69.40254211425781
2010-04-21,2010-04-21,2011-01-31,112.32386779785156,103.09600830078124,-92.27859497070327
2010-04-22,2010-04-22,2011-02-09,112.2424087524414,95.00701141357422,-172.35397338867188
2010-04-23,2010-04-23,2011-02-10,111.237548828125,94.48027801513672,-167.5727081298828
2010-07-09,2010-07-09,2011-02-11,107.65274047851562,98.05655670166016,-95.96183776855469
2010-07-12,2010-07-12,2011-02-14,108.30455017089844,98.7496337890625,-95.54916381835938
2010-07-13,2010-07-13,2011-02-15,108.38599395751952,100.3021240234375,-80.83869934082017
2010-07-14,2010-07-14,2011-02-16,108.1687240600586,100.6902313232422,-74.78492736816392
2010-07-15,2010-07-15,2011-02-17,108.00579071044922,100.27439880371094,-77.31391906738281
2010-07-16,2010-07-16,2011-02-18,107.81568908691406,99.27635955810548,-85.3932952880858
2010-07-26,2010-07-26,2011-02-21,109.58094024658205,97.9456787109375,-116.35261535644545
2010-07-27,2010-07-27,2011-02-22,109.36367797851562,97.50209045410156,-118.61587524414062
2010-07-28,2010-07-28,2011-02-24,108.22305297851562,94.78524017333984,-134.3781280517578
2010-07-29,2010-07-29,2011-02-25,108.35885620117188,94.1753158569336,-141.8354034423828
2010-07-30,2010-07-30,2011-02-28,107.95148468017578,94.1753158569336,-137.76168823242188
2010-08-02,2010-08-02,2011-03-01,107.5984115600586,100.5516586303711,-70.467529296875
2010-08-03,2010-08-03,2011-03-03,107.51696014404295,98.72189331054688,-87.9506683349608
2010-08-04,2010-08-04,2011-03-04,108.49462890625,99.3318328857422,-91.62796020507798
2010-09-14,2010-09-14,2011-03-07,112.28494262695312,100.1080551147461,-121.76887512207031
2010-09-15,2010-09-15,2011-03-08,112.83028411865234,99.88626861572266,-129.44015502929688
2010-09-16,2010-09-16,2011-03-23,112.58489227294922,97.0862274169922,-154.98664855957017
2010-09-17,2010-09-17,2011-03-24,112.53034973144531,97.52981567382812,-150.00534057617188
2010-09-20,2010-09-20,2011-03-25,111.95774841308594,101.41102600097656,-105.46722412109375
2010-09-21,2010-09-21,2011-03-28,113.4301528930664,102.6863021850586,-107.43850708007812
2010-09-22,2010-09-22,2011-04-27,113.62102508544922,102.8249282836914,-107.96096801757812
2010-09-23,2010-09-23,2011-04-28,113.10293579101562,101.85459899902344,-112.48336791992188
2010-09-24,2010-09-24,2011-04-29,114.13912200927734,101.07835388183594,-130.60768127441406
2010-09-27,2010-09-27,2011-05-02,117.02938079833984,100.38530731201172,-166.44073486328125
2010-09-28,2010-09-28,2011-05-03,119.7015151977539,98.88824462890624,-208.1327056884767
2010-09-29,2010-09-29,2011-05-04,118.33818817138672,98.99913787841795,-193.39050292968764
2010-09-30,2010-09-30,2011-05-05,118.31094360351562,96.44862365722656,-218.62319946289062
2010-10-01,2010-10-01,2011-05-06,119.67426300048828,96.91993713378906,-227.5432586669922
2010-10-04,2010-10-04,2011-05-09,118.85623931884766,95.81098175048828,-230.45257568359375
2010-10-05,2010-10-05,2011-05-10,117.84735870361328,100.1080551147461,-177.39303588867188
