stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
BAJAJ-AUTO,BAJAJ-AUTO,500000,471572.72545232665: 4.71 Lakh,-5.685454909534671,39.285714285714285,-28427.27454767335,-507.62990263702414,13790.042353881263,-9759.064892148856,61628.54910612706,-95221.65263708349
INDUSTOWER,INDUSTOWER,500000,466582.7814992833: 4.66 Lakh,-6.683443700143346,41.17647058823529,-33417.21850071667,-982.8593676681373,14611.7820778361,-11899.108379521103,46425.035975121325,-47438.421601327536
AMBUJACEM,AMBUJACEM,500000,463004.7097576622: 4.63 Lakh,-7.399058048467559,34.375,-36995.29024233785,-578.0514100365289,12707.475510259148,-7537.1369397152175,35025.084701379055,-61321.80916151788
NESTLEIND,NESTLEIND,500000,462628.7595079407: 4.62 Lakh,-7.474248098411865,36.36363636363637,-37371.240492059325,-1698.6927496390601,8368.370641115274,-7451.300401498678,22924.637668748426,-17901.07255782304
BANDHANBNK,BANDHANBNK,500000,459387.01624872396: 4.59 Lakh,-8.122596750255209,60.0,-40612.983751276035,-2707.532250085069,12748.661680636103,-25891.823146166822,32817.84057224809,-115412.14718511248
CIPLA,CIPLA,500000,457262.7121356034: 4.57 Lakh,-8.547457572879317,51.06382978723404,-42737.287864396596,-454.6519985574106,14663.117388115526,-16229.71570639004,54914.256749086584,-76256.2416441575
HDFC,HDFC,500000,455150.5734985823: 4.55 Lakh,-8.96988530028354,40.67796610169492,-44849.426501417685,-760.1597712104692,12446.694777690847,-9816.288604742798,87683.13960648267,-49559.79511718422
BOSCHLTD,BOSCHLTD,500000,454229.75561429595: 4.54 Lakh,-9.15404887714081,32.142857142857146,-45770.244385704056,-1634.6515852037162,10261.451728576283,-7269.647891731084,43421.06491554597,-36419.298935000006
COLPAL,COLPAL,500000,451499.6936533558: 4.51 Lakh,-9.700061269328836,40.625,-48500.30634664416,-757.817286666315,9534.148741179808,-7799.688779403135,44010.619538868865,-54038.46414156337
ADANIENT,ADANIENT,500000,442082.4069006178: 4.42 Lakh,-11.583518619876436,52.17391304347826,-57917.59309938218,-2518.1562217122687,33472.32238716704,-41780.49652230789,127115.62452916958,-324016.3714498198
LUPIN,LUPIN,500000,441480.4011455899: 4.41 Lakh,-11.703919770882022,46.26865671641791,-58519.59885441009,-873.4268485732849,10042.39504810771,-10273.16237071525,67432.56315798423,-60212.34674634736
NTPC,NTPC,500000,439537.9978220557: 4.39 Lakh,-12.092400435588859,49.122807017543856,-60462.0021779443,-1060.7368803148122,7847.797800519615,-9662.080710085984,32562.11429008676,-31740.240568102297
HEROMOTOCO,HEROMOTOCO,500000,430500.4306220949: 4.30 Lakh,-13.89991387558102,45.3125,-69499.56937790502,-1085.930771529766,8087.4164337802395,-8686.704170215198,37061.550966497976,-51275.94043821191
HCLTECH,HCLTECH,500000,426767.13209910045: 4.26 Lakh,-14.646573580179911,37.68115942028986,-73232.86790089958,-1061.3459116072404,16645.119173040905,-11767.58061395263,95411.00456501027,-59992.47529609442
PIDILITIND,PIDILITIND,500000,421583.4131911221: 4.21 Lakh,-15.683317361775575,52.23880597014925,-78416.58680887787,-1170.3968180429533,8884.393787040528,-12167.824042353011,38246.68689094781,-109776.92344909666
ULTRACEMCO,ULTRACEMCO,500000,415287.76444228255: 4.15 Lakh,-16.94244711154349,55.55555555555556,-84712.23555771745,-1344.6386596463087,8382.708296253746,-13503.822354521375,33827.21644546986,-85493.38387400689
ACC,ACC,500000,386219.9139301938: 3.86 Lakh,-22.75601721396124,44.26229508196721,-113780.08606980623,-1865.2473126197742,7219.393918079743,-9079.521231116447,23183.56486155824,-68970.82079821464
TORNTPHARM,TORNTPHARM,500000,381161.9640789192: 3.81 Lakh,-23.767607184216157,42.592592592592595,-118838.03592108074,-2200.7043689089023,14475.039675318643,-14573.030595271279,108610.10602657497,-54059.47877996037
HINDPETRO,HINDPETRO,500000,380998.41175996966: 3.80 Lakh,-23.800317648006068,41.86046511627907,-119001.5882400303,-2767.478796279774,14637.696160332749,-15299.204765040793,42575.32514571348,-58486.23803418509
BAJAJHLDNG,BAJAJHLDNG,500000,378316.1764208066: 3.78 Lakh,-24.336764715838676,39.62264150943396,-121683.82357919333,-2295.9211996074214,11557.160420567454,-11387.006012847181,42257.902509765634,-81091.48766844728
EICHERMOT,EICHERMOT,500000,368129.60576680745: 3.68 Lakh,-26.37407884663851,45.45454545454545,-131870.39423319255,-2997.0544143907396,18451.18362295142,-20870.586112175868,59114.84336655387,-91643.37813192222
POWERGRID,POWERGRID,500000,365231.6873473183: 3.65 Lakh,-26.95366253053634,32.608695652173914,-134768.31265268172,-2929.745927232211,6902.695859985109,-7687.379050079302,24198.950290867622,-63425.92406528793
DRREDDY,DRREDDY,500000,360001.8529316508: 3.60 Lakh,-27.999629413669837,42.465753424657535,-139998.14706834924,-1917.7828365527293,19016.904263632612,-17369.575696213335,52694.894476937625,-116537.98985936899
BPCL,BPCL,500000,351939.32787803427: 3.51 Lakh,-29.61213442439315,46.875,-148060.67212196573,-2313.4480019057146,36165.22016468424,-36265.214031249794,93956.46409936952,-217218.0984661528
APOLLOHOSP,APOLLOHOSP,500000,349866.86367605394: 3.49 Lakh,-30.026627264789212,42.64705882352941,-150133.13632394606,-2207.8402400580303,9372.524303949067,-10818.88054201203,37021.24609935208,-62404.73244382855
ASIANPAINT,ASIANPAINT,500000,349086.8731976684: 3.49 Lakh,-30.182625360466318,41.66666666666667,-150913.12680233156,-2515.218780038859,7813.675157133008,-9893.00016373305,20156.11743910745,-59103.93351272662
IGL,IGL,500000,346708.7975742339: 3.46 Lakh,-30.65824048515322,31.48148148148148,-153291.20242576607,-2838.72597084752,10531.106584281359,-8981.62200969052,44050.10788979565,-40547.41010671353
