stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
DIVISLAB,DIVISLAB,500000,646535.2032975708,29.30704065951416,50.0,146535.2032975708,2035.2111569107058,11787.720789949413,-7717.298476127999,67569.27548920404,-52559.949717838776
COALINDIA,COALINDIA,500000,633909.2341950051,26.781846839001027,53.65853658536586,133909.2341950052,3266.078882805005,9526.776150911342,-3983.1495328970686,50170.69279174799,-10405.777920976516
GODREJCP,GODREJCP,500000,601682.0985281332,20.33641970562665,50.588235294117645,101682.09852813321,1196.25998268392,14105.605113705968,-12020.450508600557,69092.93741882323,-63831.03011954786
ADANIGREEN,ADANIGREEN,500000,600349.8518653868,20.069970373077364,62.5,100349.85186538691,6271.865741586682,26247.61011625671,-27021.041549530037,87344.36088638303,-76996.79314727781
AXISBANK,AXISBANK,500000,590540.8054388125,18.108161087762493,55.319148936170215,90540.80543881236,963.2000578597059,23801.34748274389,-27312.601515806437,110585.6973954413,-135989.8692483346
ICICIPRULI,ICICIPRULI,500000,585636.367262297,17.127273452459395,59.09090909090909,85636.36726229695,3892.562148286225,10111.29999250614,-5090.0591822536535,34047.48898104724,-10214.014778469891
TATACONSUM,TATACONSUM,500000,581277.2045682885,16.255440913657704,51.724137931034484,81277.20456828854,1401.331113246354,17383.85890939153,-15722.805811194903,100235.33816187795,-103554.42453234
BHARTIARTL,BHARTIARTL,500000,573870.2680361826,14.774053607236523,54.43037974683544,73870.26803618262,935.0666840023116,12370.515467800642,-12723.941585534578,57225.35278047732,-80791.60174479561
DMART,DMART,500000,561715.4360180664,12.343087203613273,64.70588235294117,61715.43601806639,3630.3197657686114,7838.366748712713,-4084.43303629557,27833.987072753906,-14619.113745117187
ADANITRANS,ADANITRANS,500000,556121.8083079145,11.224361661582906,70.37037037037037,56121.8083079145,2078.585492885722,19072.278202996502,-38281.43469362737,49954.5,-149637.9647314453
INDUSTOWER,INDUSTOWER,500000,545420.4250623991,9.084085012479825,45.94594594594595,45420.42506239914,1227.5790557405173,16392.33386834264,-11662.462534971286,51803.202259719525,-66370.68065834997
SBILIFE,SBILIFE,500000,544718.6201114913,8.943724022298259,42.857142857142854,44718.620111491284,3194.187150820806,11642.847182169824,-3142.307872690959,34877.59549420003,-5525.4297784311075
ADANIPORTS,ADANIPORTS,500000,544295.9843809138,8.859196876182757,56.451612903225815,44295.98438091384,714.4513609824813,11763.122859623576,-13607.90058170042,55551.2209457962,-81854.04977847972
MUTHOOTFIN,MUTHOOTFIN,500000,534577.0662050402,6.915413241008041,49.01960784313725,34577.066205040144,677.9816902949048,13386.075710346277,-11541.339482831416,70508.17234523839,-99194.97292539405
CIPLA,CIPLA,500000,521600.3787223064,4.320075744461279,50.943396226415096,21600.378722306454,203.77715775760805,15319.828762057286,-15493.66104670744,51941.459169306465,-95132.96506064544
BIOCON,BIOCON,500000,516938.10231174296,3.3876204623485915,38.028169014084504,16938.102311742947,238.5648212921542,14701.437656629332,-8636.379873119293,69673.05891815187,-35399.51251276118
ACC,ACC,500000,513335.85857776256,2.667171715552511,47.82608695652174,13335.858577762565,193.2733127211966,7789.69633317749,-6770.1144560304065,35967.828083115346,-37826.64625374198
ICICIGI,ICICIGI,500000,504805.2767445684,0.9610553489136743,42.857142857142854,4805.276744568371,343.2340531834551,4454.715689397381,-2740.377173976989,7881.508101837902,-7197.775417906598
